Results from heasarc_fermilpsc: Fermi LAT Point Source Catalog
Coordinate system:  Equatorial
|ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|source_type|
|00 47 18.4|-25 12 29|   7.27017e-10|         2.37706e-10|sbg        |
|00 48 00.6|+22 32 26|   1.54524e-09|         3.01236e-10|           |
|00 48 05.4|-84 12 34|   1.29979e-09|         0.00000e+00|bzq        |
|00 49 51.1|-57 38 41|   6.27885e-10|         2.28563e-10|bzq        |
|00 50 02.8|-04 46 55|   7.15354e-10|         2.66897e-10|bzq        |
|00 50 12.4|+02 35 11|   5.48137e-10|         2.50568e-10|bzb        |
|00 50 39.5|-09 29 00|   4.50490e-09|         4.53014e-10|bzb        |
|00 51 07.8|-06 49 06|   1.86046e-09|         3.30053e-10|bzq        |
|00 51 29.6|-62 42 23|   1.83870e-09|         3.21058e-10|           |
|00 54 56.1|-24 55 44|   7.31678e-10|         2.20591e-10|           |
|00 58 05.3|+33 14 02|   1.72234e-09|         3.20904e-10|bzb        |
|00 58 24.2|-32 35 04|   7.75831e-10|         2.32297e-10|bzb        |
|00 59 38.3|+19 04 40|   6.97841e-10|         2.38954e-10|           |
|01 00 12.2|+07 47 49|   2.60876e-09|         3.55141e-10|agu        |
|01 01 03.0|-64 23 45|   1.91711e-09|         3.29924e-10|           |
|01 01 22.6|-72 57 28|   8.29368e-10|         2.99275e-10|gal        |
|01 02 14.1|+42 23 12|   5.99318e-10|         2.71428e-10|bzq        |
|01 02 19.0|+09 42 51|   6.98386e-10|         2.42828e-10|           |
|01 02 49.2|+58 28 00|   4.22771e-09|         5.32127e-10|bzq        |
|01 03 11.3|+48 40 15|   2.23668e-09|         4.09243e-10|           |
|01 04 24.0|-24 06 23|   9.60431e-10|         0.00000e+00|bzq        |
|01 05 44.7|+39 30 17|   1.24190e-09|         2.95733e-10|           |
|01 06 43.5|+48 53 37|   3.44681e-09|         4.76630e-10|           |
|01 08 41.8|+01 35 16|   5.64789e-09|         4.94731e-10|bzq        |
|01 09 02.7|+18 16 39|   9.01148e-10|         2.35130e-10|bzb        |
|01 10 03.4|+68 06 37|   1.99872e-09|         4.50412e-10|agu        |
|01 10 06.0|-40 23 19|   8.00723e-10|         0.00000e+00|           |
|01 12 04.3|+22 47 40|   5.33353e-09|         4.82917e-10|bzb        |
|01 12 55.8|+32 07 05|   7.12539e-09|         5.50126e-10|bzq        |
|01 13 50.2|+49 45 30|   6.69398e-10|         3.23908e-10|bzq        |
|01 14 24.3|+13 27 49|   1.05758e-09|         2.74723e-10|bzb        |
|01 15 30.1|-11 32 55|   6.85356e-10|         2.33692e-10|bzq        |
|01 15 33.4|+25 19 54|   1.40700e-09|         2.94197e-10|bzb        |
|01 15 44.4|+03 57 31|   1.35724e-09|         2.93716e-10|           |
|01 18 43.8|-21 37 39|   3.32092e-09|         3.98997e-10|bzq        |
|01 20 31.6|-27 00 57|   3.70596e-09|         4.23448e-10|bzb        |
|01 22 12.7|+52 00 49|   1.08023e-09|         3.29291e-10|           |
|01 24 36.9|-06 16 58|   6.19916e-10|         2.72825e-10|           |
|01 27 02.2|+03 22 43|   5.36798e-10|         2.26437e-10|           |
|01 28 36.8|+44 39 10|   7.99205e-10|         2.48687e-10|bzq        |
|01 31 17.6|+61 21 06|   3.57986e-09|         5.16471e-10|           |
|01 32 39.2|-16 55 39|   2.46990e-09|         3.56790e-10|bzq        |
|01 34 28.5|+26 32 36|   9.06939e-10|         2.65483e-10|           |
|01 36 19.3|-22 20 25|   8.69758e-10|         0.00000e+00|           |
|01 36 31.3|+39 05 08|   4.54616e-09|         4.46353e-10|bzb        |
|01 37 00.1|+47 51 08|   9.58543e-09|         6.46254e-10|bzq        |
|01 37 34.2|-24 28 53|   8.33345e-10|         2.42264e-10|bzq        |
|01 37 48.8|+58 14 57|   1.42514e-09|         3.98809e-10|           |
|01 41 42.3|-09 29 15|   1.32600e-09|         2.66322e-10|bzb        |
|01 43 56.5|-58 45 42|   1.15487e-09|         2.74294e-10|           |
|01 44 41.4|+27 03 40|   2.82939e-09|         3.81622e-10|bzb        |
|01 44 55.4|-27 32 32|   2.24748e-09|         3.45727e-10|bzq        |
|01 47 25.5|+15 47 32|   7.28884e-10|         0.00000e+00|           |
|01 54 07.5|+08 23 39|   2.13218e-09|         3.38877e-10|bzb        |
|01 55 01.6|+44 33 48|   1.05970e-09|         0.00000e+00|bzb        |
|01 57 02.3|-52 59 08|   7.73882e-10|         2.31498e-10|           |
|01 57 30.1|-46 13 49|   1.09718e-09|         2.81171e-10|bzq        |
|01 58 01.8|-39 31 40|   9.08918e-10|         2.70822e-10|bzb        |
|01 59 34.5|+10 47 45|   1.62911e-09|         3.08216e-10|bzb        |
|01 59 44.2|-27 41 44|   1.06110e-09|         2.54420e-10|bzb        |
|02 02 06.4|+08 49 48|   8.72453e-10|         2.65167e-10|bzb        |
|02 03 32.4|+30 44 56|   7.93283e-10|         2.54065e-10|agu        |
|02 03 34.6|+72 34 29|   1.66998e-09|         4.06233e-10|bzb        |
|02 04 32.2|+15 16 56|   7.17797e-10|         2.48401e-10|agn        |
|02 05 02.6|-17 02 19|   1.52009e-09|         3.01060e-10|bzq        |
|02 05 21.3|+32 17 08|   1.20981e-09|         2.89265e-10|bzq        |
|02 05 37.9|+64 49 43|   5.46379e-09|         6.05474e-10|PSR        |
|02 08 40.8|+35 22 51|   5.62637e-10|         2.67563e-10|bzb        |
|02 09 21.4|-52 29 27|   2.12910e-09|         3.46183e-10|bzb        |
|02 10 41.4|-51 01 38|   7.08904e-09|         5.80758e-10|bzb        |
|02 11 14.0|+10 49 53|   2.15574e-09|         3.51018e-10|bzb        |
|02 12 19.7|+53 19 26|   2.48592e-09|         4.08490e-10|           |
|02 13 17.4|+22 44 56|   1.72669e-09|         3.33015e-10|bzb        |
|02 14 11.2|+60 20 41|   1.67703e-09|         0.00000e+00|           |
|02 17 01.8|-08 29 18|   5.32816e-10|         2.08571e-10|bzq        |
|02 17 17.7|+08 34 44|   8.49290e-10|         2.74166e-10|agu        |
|02 17 48.3|+73 53 01|   1.02605e-09|         3.69527e-10|bzq        |
|02 17 55.2|+01 44 48|   5.96780e-09|         5.05124e-10|bzq        |
|02 17 56.9|-66 30 15|   9.44409e-10|         2.79186e-10|           |
|02 18 06.4|+42 32 18|   5.19463e-09|         5.56288e-10|PSR        |
|02 18 51.1|+61 58 20|   3.29390e-09|         7.24364e-10|spp        |
|02 20 00.5|+62 57 40|   3.30551e-09|         6.07265e-10|spp        |
|02 21 05.0|+35 55 51|   6.39944e-09|         5.24966e-10|bzq        |
|02 22 08.9|-16 18 53|   7.43402e-10|         2.39061e-10|bzq        |
|02 22 40.3|+43 02 19|   2.48564e-08|         9.96389e-10|bzb        |
|02 23 03.8|-11 18 05|   8.67782e-10|         0.00000e+00|           |
|02 24 01.8|+62 01 00|   9.50823e-09|         9.05121e-10|           |
|02 26 04.3|+39 22 15|   9.62663e-10|         0.00000e+00|           |
|02 26 22.0|+09 37 33|   9.41053e-10|         2.67679e-10|           |
|02 29 22.2|-36 44 03|   2.00354e-09|         3.28887e-10|bzq        |
|02 30 52.9|+40 31 54|   1.39582e-09|         3.11328e-10|bzq        |
|02 33 29.8|+66 54 09|   1.45215e-09|         0.00000e+00|           |
|02 37 30.9|-36 03 11|   5.83342e-10|         2.60310e-10|agu        |
|02 37 58.8|+28 48 01|   3.66272e-09|         4.38378e-10|bzq        |
|02 38 23.7|-61 32 59|   1.02716e-09|         0.00000e+00|bzq        |
|02 38 38.0|-31 17 49|   9.64390e-10|         2.63562e-10|bzb        |
|02 38 40.5|+16 37 17|   3.26961e-08|         1.10964e-09|bzb        |
|02 39 30.4|+13 24 26|   1.13731e-09|         2.78499e-10|           |
|02 40 31.7|+61 13 45|   3.87264e-08|         1.34015e-09|HXB        |
|02 42 42.6|+00 07 58|   8.64780e-10|         2.42947e-10|           |
|02 43 33.7|+71 16 48|   1.26486e-09|         3.99735e-10|bzb        |
|02 45 27.1|+24 13 38|   7.27716e-10|         3.13228e-10|bzq        |
|02 45 59.7|-46 52 27|   2.81237e-09|         3.87039e-10|bzq        |
|02 47 27.7|-60 03 06|   1.08086e-09|         0.00000e+00|           |
|02 48 18.6|+60 21 34|   4.61841e-09|         7.00040e-10|PSR        |
|02 48 44.5|+51 27 22|   1.68523e-09|         3.89509e-10|           |
|02 50 27.3|+17 15 31|   5.83232e-10|         2.64280e-10|bzq        |
|02 51 32.4|+56 34 51|   1.27166e-09|         4.89264e-10|           |
|02 52 50.3|-22 19 23|   5.17495e-09|         4.93264e-10|bzq        |
|02 54 16.4|+51 07 24|   2.28872e-09|         4.53734e-10|agu        |
|02 56 10.1|+03 23 03|   1.04148e-09|         2.76982e-10|           |
|02 56 57.4|+29 20 59|   5.93116e-10|         2.80860e-10|           |
|02 57 49.1|-12 04 04|   1.13788e-09|         2.74052e-10|bzq        |
|02 58 05.5|+20 33 22|   1.17774e-09|         3.80396e-10|bzb        |
|02 59 34.3|+07 43 13|   1.01594e-09|         3.08937e-10|bzq        |
|02 59 56.5|+59 25 14|   1.26331e-09|         5.29591e-10|           |
|03 03 10.5|+47 11 15|   1.41315e-09|         3.53262e-10|bzb        |
|03 03 29.5|-62 09 52|   1.26819e-09|         2.88954e-10|bzq        |
|03 03 33.4|-24 06 45|   4.58934e-09|         4.52133e-10|bzb        |
|03 05 04.4|-06 01 16|   1.00060e-09|         2.66413e-10|bzb        |
|03 05 12.7|-16 01 42|   4.88921e-10|         2.28656e-10|           |
|03 07 30.8|+49 16 11|   1.89099e-09|         4.18797e-10|           |
|03 08 20.3|+04 03 37|   8.67966e-10|         3.18142e-10|agn        |
|03 08 37.2|+74 42 42|   2.71655e-09|         4.16837e-10|           |
|03 10 08.3|-60 58 20|   1.43045e-09|         3.07676e-10|bzq        |
|03 10 36.6|+38 12 27|   6.13265e-10|         2.92542e-10|bzq        |
|03 11 21.5|-09 22 03|   8.56832e-10|         2.68614e-10|           |
|03 12 36.9|+01 32 00|   1.82553e-09|         3.30055e-10|bzq        |
|03 15 41.7|-51 09 55|   6.99896e-10|         2.70610e-10|           |
|03 15 58.4|-26 09 29|   7.68563e-10|         2.64070e-10|bzb        |
|03 15 59.9|-10 33 05|   1.43391e-09|         3.00830e-10|bzq        |
|03 16 11.4|+09 04 56|   2.59217e-09|         3.83667e-10|bzb        |
|03 16 23.9|-64 38 28|   6.74007e-10|         2.82783e-10|           |
|03 18 09.0|+02 54 53|   8.26795e-10|         2.75594e-10|           |
|03 19 42.5|+18 47 54|   1.03909e-09|         2.91071e-10|bzb        |
|03 19 45.9|+41 30 31|   1.73340e-08|         8.46273e-10|agn        |
|03 22 09.5|+23 36 39|   1.53740e-09|         3.17812e-10|bzb        |
|03 23 46.9|-01 06 15|   7.81959e-10|         2.58188e-10|bzb        |
|03 25 05.9|+34 03 39|   9.61175e-10|         3.29825e-10|agn        |
|03 25 38.9|-56 26 37|   5.88278e-10|         2.62074e-10|agu        |
|03 25 54.7|-16 49 03|   5.82345e-10|         2.27809e-10|bzb        |
|03 25 59.5|+22 19 07|   1.15008e-09|         3.39718e-10|bzq        |
|03 26 16.0|+02 22 36|   1.12322e-09|         2.77910e-10|bzb        |
|03 32 05.5|+63 10 25|   1.34836e-09|         4.66176e-10|           |
|03 33 42.5|+29 19 39|   9.57146e-10|         3.38183e-10|           |
|03 34 12.6|-40 10 05|   3.76412e-09|         4.33531e-10|bzb        |
|03 34 16.0|+32 33 29|   1.03850e-09|         3.91676e-10|           |
|03 34 16.1|+75 01 54|   1.05985e-09|         3.09774e-10|           |
|03 34 23.3|+65 36 10|   1.28216e-09|         4.72795e-10|agu        |
|03 34 24.7|-37 27 58|   2.62162e-09|         3.73655e-10|bzb        |
|03 35 31.2|-45 01 54|   6.88580e-10|         2.15328e-10|           |
|03 36 01.1|+78 45 00|   5.36150e-10|         2.62156e-10|           |
|03 38 53.1|+13 13 53|   1.18282e-09|         0.00000e+00|           |
|03 39 10.2|-17 34 40|   5.48944e-10|         2.69150e-10|agn        |
|03 39 12.9|-01 43 06|   1.17770e-09|         2.97571e-10|bzq        |
|03 40 25.7|+41 30 24|   3.87143e-09|         4.62519e-10|           |
|03 41 35.4|+53 04 43|   1.48308e-09|         5.17410e-10|           |
|03 42 15.4|+38 59 47|   1.10435e-09|         0.00000e+00|           |
|03 43 24.9|-25 36 24|   4.27510e-10|         1.94585e-10|bzq        |
|03 45 18.0|-23 55 07|   9.96008e-10|         2.59591e-10|           |
|03 48 31.6|-27 51 12|   7.43089e-10|         2.34479e-10|bzq        |
|03 49 59.6|-21 04 49|   2.99391e-09|         4.02199e-10|bzq        |
|03 52 49.4|+56 58 04|   1.05855e-09|         4.15864e-10|           |
|03 54 36.5|+80 09 33|   1.96265e-09|         3.26251e-10|agu        |
|03 57 09.9|-49 49 29|   7.71140e-10|         2.45667e-10|bzb        |
|03 57 52.6|+32 05 12|   7.48650e-09|         6.05184e-10|PSR        |
|03 59 35.8|+54 10 41|   3.39557e-09|         6.07480e-10|           |
|04 01 19.9|-31 52 16|   6.04201e-10|         2.63042e-10|           |
|04 02 11.5|-26 18 03|   5.15991e-10|         2.13587e-10|agu        |
|04 02 17.3|+68 10 39|   5.88260e-10|         0.00000e+00|           |
|04 03 54.6|-36 03 49|   2.72700e-09|         3.78201e-10|bzq        |
|04 04 34.1|-08 50 04|   8.46112e-10|         2.69226e-10|           |
|04 05 41.5|-13 09 41|   6.89589e-10|         0.00000e+00|bzq        |
|04 07 27.9|-38 27 24|   2.47874e-09|         3.79264e-10|bzq        |
|04 07 32.3|+07 49 27|   7.55497e-10|         3.31752e-10|bzq        |
|04 09 54.8|-03 57 23|   7.32485e-10|         2.48756e-10|           |
|04 11 38.1|+54 59 50|   1.20027e-09|         4.82174e-10|           |
|04 12 13.0|+21 03 36|   7.85539e-10|         3.69390e-10|           |
|04 13 27.2|-53 34 40|   2.44820e-09|         3.75698e-10|bzq        |
|04 16 33.0|-18 51 08|   1.47798e-09|         3.09886e-10|bzq        |
|04 16 49.7|+01 07 28|   7.00042e-10|         2.66209e-10|bzb        |
|04 19 02.3|+38 11 34|   1.45983e-09|         4.60978e-10|agn        |
|04 22 01.8|-06 47 09|   1.08392e-09|         0.00000e+00|bzq        |
|04 22 06.4|+02 11 55|   1.04359e-09|         3.15246e-10|bzq        |
|04 23 12.0|-01 18 32|   5.64688e-09|         5.04027e-10|bzq        |
|04 23 50.3|+41 48 58|   3.52291e-09|         4.91334e-10|agu        |
|04 24 49.4|+00 36 19|   1.04184e-09|         3.01810e-10|bzb        |
|04 26 35.3|+54 37 52|   3.37823e-09|         5.83251e-10|           |
|04 27 22.1|+20 28 40|   1.25001e-09|         0.00000e+00|           |
|04 27 30.7|+05 15 53|   9.83334e-10|         3.16425e-10|           |
|04 27 55.8|+55 56 49|   8.40196e-10|         4.02798e-10|           |
|04 28 37.6|-37 56 28|   2.57151e-08|         1.01914e-09|bzb        |
|04 30 21.7|+35 11 03|   1.27896e-09|         4.07625e-10|           |
|04 30 26.9|-25 09 58|   9.66987e-10|         2.70755e-10|bzb        |
|04 33 33.3|+29 05 21|   4.51563e-09|         5.52344e-10|bzb        |
|04 33 34.4|+32 30 58|   8.58060e-10|         3.52321e-10|bzq        |
|04 34 11.4|-20 18 19|   1.00717e-09|         2.54995e-10|bzb        |
|04 37 15.8|-47 15 09|   1.77922e-09|         3.31147e-10|PSR        |
|04 38 48.1|-12 50 22|   5.28099e-10|         2.58181e-10|bzq        |
|04 39 38.2|-05 38 51|   9.69935e-10|         0.00000e+00|           |
|04 39 51.5|-18 57 55|   7.49127e-10|         2.15485e-10|           |
|04 40 41.7|+27 48 54|   1.03753e-09|         0.00000e+00|bzb        |
|04 42 45.5|-00 19 09|   6.26643e-09|         5.21758e-10|bzq        |
|04 45 16.6|-60 09 00|   7.53389e-10|         2.65506e-10|           |
|04 48 32.5|-16 33 14|   9.81445e-10|         2.40728e-10|bzb        |
|04 48 40.2|+11 18 31|   1.80548e-09|         3.95527e-10|bzb        |
|04 49 30.8|-43 50 18|   1.10812e-08|         6.84765e-10|bzb        |
|04 53 13.7|-28 05 12|   2.15099e-09|         3.60831e-10|bzq        |
|04 55 41.7|-46 18 36|   1.55819e-09|         3.24796e-10|bzq        |
|04 56 26.8|-31 32 24|   7.84411e-10|         2.62461e-10|bzq        |
|04 57 02.3|-23 25 22|   3.25337e-08|         1.12227e-09|bzq        |
|04 57 54.5|+06 49 28|   1.38279e-09|         3.16169e-10|bzq        |
|04 59 45.6|-69 21 00|   7.28715e-10|         3.49049e-10|gal        |
|05 00 11.5|+52 37 49|   9.97773e-10|         0.00000e+00|spp        |
|05 00 52.0|+34 37 01|   1.28185e-09|         4.05476e-10|           |
|05 01 05.8|-02 00 09|   1.12590e-09|         2.75103e-10|bzq        |
|05 02 55.0|+18 57 07|   1.25984e-09|         0.00000e+00|           |
|05 03 15.0|+45 26 44|   1.04331e-09|         4.66653e-10|spp        |
|05 05 13.6|+04 20 37|   1.25206e-09|         3.10790e-10|bzb        |
|05 05 50.7|-04 16 03|   6.63647e-10|         2.87593e-10|bzq        |
|05 05 56.5|+61 21 10|   8.64101e-10|         3.40155e-10|           |
|05 06 58.2|-54 35 55|   9.80969e-10|         0.00000e+00|           |
|05 07 20.2|-61 03 31|   1.90971e-09|         3.42832e-10|bzq        |
|05 07 58.3|+67 38 12|   2.29176e-09|         3.49466e-10|bzb        |
|05 09 15.6|+10 15 47|   2.24630e-09|         4.09881e-10|bzq        |
|05 09 22.7|+05 40 29|   3.91241e-09|         4.38088e-10|bzb        |
|05 10 00.2|+18 00 57|   1.30724e-09|         3.41365e-10|bzq        |
|05 13 01.8|+40 48 37|   8.15686e-10|         3.73525e-10|           |
|05 15 17.5|+73 55 47|   6.80276e-10|         2.74654e-10|           |
|05 15 36.5|-44 04 39|   6.25269e-10|         2.51065e-10|           |
|05 15 54.6|+15 28 00|   1.17092e-09|         3.65462e-10|           |
|05 16 42.5|-62 07 52|   3.23084e-09|         4.19312e-10|agu        |
|05 17 37.8|-17 37 59|   6.92132e-10|         2.92297e-10|           |
|05 17 38.2|+08 57 11|   1.05467e-09|         4.03975e-10|           |
|05 18 38.9|-72 22 40|   7.06689e-10|         3.18802e-10|gal        |
|05 20 14.5|+26 32 34|   1.02324e-09|         4.71241e-10|           |
|05 21 41.4|+01 03 05|   6.37241e-10|         2.95548e-10|           |
|05 21 47.3|+21 14 06|   5.52736e-09|         5.73416e-10|agu        |
|05 22 48.5|-36 32 20|   2.85440e-09|         4.05692e-10|bzb        |
|05 23 21.0|-68 55 24|   2.13859e-09|         4.42032e-10|gal        |
|05 23 33.1|-25 29 53|   2.61375e-09|         3.67897e-10|           |
|05 24 07.6|+28 42 03|   1.32076e-09|         3.96232e-10|           |
|05 26 22.5|-48 29 08|   1.49567e-09|         3.13536e-10|bzq        |
|05 27 36.4|+66 46 32|   9.02145e-10|         3.40251e-10|           |
|05 28 25.3|+38 38 20|   1.40464e-09|         4.77266e-10|           |
|05 31 00.4|+13 31 22|   4.01054e-09|         5.28005e-10|bzq        |
|05 31 21.1|-67 16 53|   2.61383e-09|         4.55375e-10|gal        |
|05 32 58.5|+07 33 43|   3.29922e-09|         4.54116e-10|bzq        |
|05 33 02.9|-83 24 43|   2.17184e-09|         4.19245e-10|bzq        |
|05 33 04.7|+48 25 33|   2.26893e-09|         4.27422e-10|bzq        |
|05 33 58.4|+67 58 46|   1.38642e-09|         3.17242e-10|           |
|05 34 32.0|+22 00 52|   1.72033e-07|         2.48632e-09|PSR        |
|05 34 44.9|-05 31 19|   2.97683e-09|         6.17684e-10|           |
|05 36 14.5|-33 48 10|   1.95678e-09|         3.25868e-10|bzb        |
|05 36 14.9|-06 07 42|   2.31840e-09|         5.65791e-10|           |
|05 37 44.0|-57 17 58|   9.63276e-10|         0.00000e+00|           |
|05 38 25.2|-39 10 46|   1.28815e-09|         3.02918e-10|           |
|05 38 40.6|+27 17 50|   1.49311e-09|         5.62557e-10|spp        |
|05 38 52.4|-44 04 51|   2.12884e-08|         9.48439e-10|bzb        |
|05 38 57.5|-69 14 23|   7.49870e-09|         6.50438e-10|gal        |
|05 39 09.6|-28 47 32|   9.14290e-10|         0.00000e+00|bzq        |
|05 39 28.8|-04 00 59|   1.09678e-09|         3.72417e-10|agu        |
|05 40 29.2|-07 37 35|   1.79971e-09|         5.26529e-10|           |
|05 40 55.6|-05 47 23|   1.43440e-09|         4.28012e-10|bzq        |
|05 41 07.3|+35 42 33|   1.54442e-09|         5.88835e-10|           |
|05 41 57.2|-02 04 31|   1.47896e-09|         5.52990e-10|           |
|05 43 48.3|-55 31 48|   1.78085e-09|         3.21551e-10|bzb        |
|05 45 37.7|+60 22 20|   9.43885e-10|         2.75285e-10|           |
|05 47 04.7|+00 20 11|   1.92822e-09|         4.86021e-10|           |
|05 49 54.6|+26 54 04|   2.11301e-09|         0.00000e+00|           |
|05 50 53.1|-44 00 16|   1.05850e-09|         0.00000e+00|           |
|05 51 41.7|+04 49 30|   8.13294e-10|         3.88336e-10|           |
|05 53 57.2|+31 05 02|   2.49249e-09|         4.72542e-10|spp        |
|05 57 37.4|-38 31 33|   9.37570e-10|         2.91215e-10|bzb        |
|05 59 12.8|-75 00 46|   1.26692e-09|         3.31912e-10|bzb        |
|06 00 35.9|-20 06 46|   7.22043e-10|         2.60298e-10|           |
|06 00 44.7|-70 37 30|   1.71338e-09|         3.82767e-10|bzq        |
|06 00 57.2|+38 38 48|   1.00398e-09|         3.66380e-10|           |
|06 03 03.5|-40 12 48|   1.18925e-09|         3.12892e-10|           |
|06 04 12.6|-48 17 01|   1.12279e-09|         3.12483e-10|           |
|06 05 11.2|+00 05 48|   1.06809e-09|         3.26993e-10|           |
|06 05 18.5|+38 00 19|   1.26248e-09|         3.27456e-10|           |
|06 07 15.0|+47 39 57|   2.47904e-09|         3.88369e-10|bzb        |
|06 08 03.7|-15 21 02|   3.61231e-09|         4.64072e-10|agu        |
|06 08 08.8|-06 30 32|   1.80088e-09|         4.94166e-10|           |
|06 08 12.6|-08 37 07|   1.86942e-09|         4.02394e-10|bzq        |
|06 08 20.4|+20 38 07|   3.65592e-09|         7.00009e-10|           |
|06 09 23.3|-02 44 38|   1.20302e-09|         3.24688e-10|           |
|06 10 44.0|-20 59 52|   1.51003e-09|         3.25995e-10|psr        |
|06 12 45.2|+41 20 56|   3.56232e-09|         4.44761e-10|bzb        |
|06 13 44.0|-02 00 47|   5.90103e-09|         5.62208e-10|PSR        |
|06 14 10.9|-33 28 43|   1.68291e-08|         8.35990e-10|           |
|06 16 57.8|+57 01 32|   1.32613e-09|         2.86504e-10|bzb        |
|06 17 12.8|+22 33 54|   5.63178e-08|         1.55445e-09|SNR        |
|06 17 42.5|-17 18 35|   1.31619e-09|         3.07150e-10|bzb        |
|06 21 30.3|+25 08 30|   1.25672e-09|         3.58755e-10|           |
|06 22 14.7|+37 51 49|   2.04449e-09|         3.83462e-10|           |
|06 22 20.5|-26 04 23|   1.25634e-09|         3.12351e-10|agu        |
|06 23 34.3|+33 30 22|   1.20483e-09|         3.44242e-10|           |
|06 25 26.6|+44 40 20|   9.93213e-10|         2.72307e-10|bzb        |
|06 25 44.1|+00 01 48|   7.91610e-10|         0.00000e+00|           |
|06 25 54.3|-06 13 38|   9.47974e-10|         3.41871e-10|           |
|06 25 55.0|-54 30 51|   8.67884e-10|         0.00000e+00|bzq        |
|06 26 41.4|-42 54 50|   6.14417e-10|         2.86567e-10|agu        |
|06 27 19.4|-35 30 15|   8.43331e-10|         3.02629e-10|agn        |
|06 29 37.4|-20 00 45|   1.19093e-09|         2.93028e-10|bzb        |
|06 30 08.4|+06 22 05|   2.39950e-09|         5.97668e-10|           |
|06 30 59.3|-24 06 24|   3.12650e-09|         4.07612e-10|bzb        |
|06 31 27.6|+10 37 02|   5.39655e-09|         6.24751e-10|PSR        |
|06 33 44.4|+06 32 29|   1.60904e-08|         9.51883e-10|PSR        |
|06 33 54.1|+17 46 13|   6.74699e-07|         4.79341e-09|PSR        |
