              F10.7     ap
YYYY MM  +2sig  nom. +2sig nom.
2033  7    152  120   11  11
2033  8    154  121   11  11
2033  9    156  122   11  11
2033 10    158  123   11  11
2033 11    159  125   12  12
2033 12    161  126   12  12
2034  1    163  127   12  12
2034  2    165  128   12  12
2034  3    167  129   12  12
2034  4    168  130   12  12
2034  5    170  131   12  12
2034  6    171  131   12  12
2034  7    172  132   12  12
2034  8    173  132   12  12
2034  9    174  133   12  12
2034 10    174  133   12  12
2034 11    175  133   12  12
2034 12    175  133   12  12
2035  1    175  133   12  12
2035  2    176  134   12  12
2035  3    176  134   12  12
2035  4    176  134   12  12
2035  5    176  133   12  12
2035  6    175  133   12  12
2035  7    175  133   12  12
2035  8    174  133   12  12
2035  9    173  133   12  12
2035 10    173  132   12  12
2035 11    172  132   12  12
2035 12    171  131   12  12
2036  1    170  131   12  12
2036  2    169  130   12  12
2036  3    168  130   12  12
2036  4    166  129   12  12
2036  5    165  128   12  12
2036  6    164  127   12  12
2036  7    162  127   12  12
2036  8    160  126   12  12
2036  9    158  125   12  12
2036 10    156  124   12  12
2036 11    155  123   11  11
2036 12    152  122   11  11
2037  1    151  122   11  11
2037  2    149  121   11  11
2037  3    147  120   11  11
2037  4    145  119   11  11
2037  5    144  118   11  11
2037  6    142  117   11  11
2037  7    140  116   11  11
2037  8    138  115   11  11
2037  9    136  114   11  11
2037 10    134  113   11  11
2037 11    132  112   11  11
2037 12    129  110   10  10
2038  1    128  109   10  10
2038  2    126  108   10  10
2038  3    124  107   10  10
2038  4    122  106   10  10
2038  5    121  105   10  10
2038  6    119  104   10  10
2038  7    117  104   10  10
2038  8    115  103   10  10
2038  9    113  102   10  10
2038 10    110  101   10  10
2038 11    108  100   10  10
2038 12    106   99   10  10
2039  1    104   99   10  10
2039  2    103   98   10  10
2039  3    101   97   10  10
2039  4    100   96    9   9
2039  5     99   95    9   9
2039  6     98   94    9   9
2039  7     96   93    9   9
2039  8     95   93    9   9
2039  9     93   92    9   9
2039 10     92   91    9   9
2039 11     92   90    9   9
2039 12     91   90    9   9
2040  1     90   89    9   9
2040  2     90   88    9   9
2040  3     90   88    9   9
2040  4     91   87    9   9
2040  5     91   87    9   9
2040  6     91   86    9   9
2040  7     91   85    9   9
2040  8     91   85    9   9
2040  9     91   84    9   9
2040 10     91   84    9   9
2040 11     91   84    9   9
2040 12     91   83    9   9
2041  1     91   83    9   9
2041  2     91   82    9   9
2041  3     91   82    8   8
2041  4     91   82    8   8
2041  5     91   81    8   8
2041  6     91   81    8   8
2041  7     91   81    8   8
2041  8     91   80    8   8
2041  9     91   80    8   8
2041 10     91   80    8   8
2041 11     91   79    8   8
2041 12     91   79    8   8
2042  1     91   79    8   8
2042  2     91   79    8   8
2042  3     91   79    8   8
2042  4     92   78    8   8
2042  5     92   78    8   8
2042  6     92   78    8   8
2042  7     92   78    8   8
2042  8     92   78    8   8
2042  9     92   78    8   8
